z,P
250.,0.000044105667528900786
500.,0.000043404632290359054
750.,0.00004277348998466532
1000.,0.00004217969401383951
1250.,0.00004161127323627149
1500.,0.00004106224866027965
1750.,0.00004052911448290833
2000.,0.00004000959524729255
2250.,0.00003950210537947944
2500.,0.00003900548011759272
2750.,0.00003851882802834079
3000.,0.00003804144410229082
3250.,0.00003757275556318153
3500.,0.00003711228650039629
3750.,0.00003665963390281553
4000.,0.000036214450898533194
4250.,0.000035776434714855046
4500.,0.00003534531782645853
4750.,0.00003492086131466389
5000.,0.00003450284979608242
5250.,0.000034091087488120355
5500.,0.00003368539511308411
5750.,0.00003328560743099785
6000.,0.00003289157125070826
6250.,0.00003250314380968943
6500.,0.00003212019144150156
6750.,0.00003174258847016222
7000.,0.00003137021628531613
7250.,0.0000310029625628202
7500.,0.00003064072060328099
7750.,0.000030283388767038897
8000.,0.000029930869988600457
8250.,0.000029583071356965687
8500.,0.000029239903750965885
8750.,0.00002890128152080527
9000.,0.000028567122208624452
9250.,0.000028237346302205608
9500.,0.000027911877016957647
9750.,0.000027590640102158813
10000.,0.000027273563668088734
10250.,0.00002696057803123961
10500.,0.000026651615575223495
10750.,0.000026346610625374678
11000.,0.000026045499335331315
11250.,0.000025748219584144418
11500.,0.00002545471088265838
11750.,0.000025164914288094078
12000.,0.000024878772325901503
12250.,0.000024596228918081237
12500.,0.000024317229317273162
12750.,0.00002404172004600685
13000.,0.000023769648840576596
13250.,0.000023500964599077773
13500.,0.000023235617333189603
13750.,0.00002297355812334631
14000.,0.000022714739076971667
14250.,0.000022459113289496453
14500.,0.00002220663480790402
14750.,0.000021957258596581116
15000.,0.000021710940505272343
15250.,0.000021467637238957165
15500.,0.000021227306329493705
15750.,0.00002098990610887854
16000.,0.00002075539568399632
16250.,0.00002052373491274255
16500.,0.00002029488438140968
16750.,0.000020068805383245607
17000.,0.0000198454598980936
17250.,0.00001962481057303791
17500.,0.000019406820703980175
17750.,0.00001919145421808454
18000.,0.000018978675657029983
18250.,0.00001876845016101467
18500.,0.000018560743453464395
18750.,0.000018355521826398064
19000.,0.000018152752126409122
19250.,0.000017952401741223042
19500.,0.000017754438586796848
19750.,0.000017558831094927254
20000.,0.000017365548201337536
20250.,0.000017174559334215163
20500.,0.000016985834403173153
20750.,0.000016799343788614814
21000.,0.000016615058331475517
21250.,0.00001643294932332362
21500.,0.000016252988496800764
21750.,0.000016075148016383615
22000.,0.000015899400469450375
22250.,0.00001572571885763846
22500.,0.00001555407658847485
22750.,0.000015384447467270597
23000.,0.000015216805689263762
23250.,0.000015051125831999902
23500.,0.000014887382847938786
23750.,0.000014725552057277932
24000.,0.00001456560914098288
24250.,0.00001440753013401362
24500.,0.0000142512914187411
24750.,0.000014096869718544201
25000.,0.00001394424209157994
25250.,0.000013793385924719406
25500.,0.00001364427892764375
25750.,0.000013496899127092208
26000.,0.000013351224861258448
26250.,0.000013207234774326183
26500.,0.000013064907811143025
26750.,0.000012924223212022713
27000.,0.000012785160507675455
27250.,0.000012647699514257942
27500.,0.00001251182032854138
27750.,0.00001237750332319189
28000.,0.000012244729142160012
28250.,0.00001211347869617541
28500.,0.000011983733158343028
28750.,0.000011855473959837935
29000.,0.00001172868278569432
29250.,0.00001160334157068782
29500.,0.000011479432495304994
29750.,0.000011356937981801067
30000.,0.000011235840690338965
30250.,0.000011116123515211308
30500.,0.000010997769581139627
30750.,0.000010880762239650199
31000.,0.000010765085065523494
31250.,0.000010650721853315728
31500.,0.000010537656613949845
31750.,0.000010425873571374198
32000.,0.000010315357159286999
32250.,0.000010206092017925067
32500.,0.0000100980629909142
32750.,9.99125512218055e-6
33000.,9.885653652920596e-6
33250.,9.781244018629e-6
33500.,9.678011846181352e-6
33750.,9.575942950972278e-6
34000.,9.475023334105984e-6
34250.,9.375239179638793e-6
34500.,9.276576851871477e-6
34750.,9.17902289269154e-6
35000.,9.08256401896291e-6
35250.,8.98718711996214e-6
35500.,8.892879254860852e-6
35750.,8.799627650252513e-6
36000.,8.707419697722046e-6
36250.,8.616242951458986e-6
36500.,8.526085125911478e-6
36750.,8.436934093480679e-6
37000.,8.348777882255394e-6
37250.,8.261604673784767e-6
37500.,8.175402800889205e-6
37750.,8.090160745508486e-6
38000.,8.005867136585337e-6
38250.,7.922510747985436e-6
38500.,7.840080496451386e-6
38750.,7.758565439590582e-6
39000.,7.677954773896996e-6
39250.,7.5982378328042844e-6
39500.,7.5194040847719125e-6
39750.,7.441443131401829e-6
40000.,7.364344705585374e-6
40250.,7.288098669680954e-6
40500.,7.212695013720024e-6
40750.,7.138123853642647e-6
41000.,7.064375429560487e-6
41250.,6.991440104047771e-6
41500.,6.919308360459196e-6
41750.,6.847970801274304e-6
42000.,6.777418146467703e-6
42250.,6.707641231904996e-6
42500.,6.638631007763529e-6
42750.,6.5703785369779655e-6
43000.,6.502874993709211e-6
43250.,6.436111661837788e-6
43500.,6.3700799334797435e-6
43750.,6.304771307525574e-6
44000.,6.2401773882012115e-6
44250.,6.176289883651455e-6
44500.,6.113100604543794e-6
44750.,6.050601462694689e-6
45000.,5.988784469715655e-6
45250.,5.927641735679623e-6
45500.,5.867165467808112e-6
45750.,5.807347969177163e-6
46000.,5.748181637442739e-6
46250.,5.6896589635857295e-6
46500.,5.631772530674294e-6
46750.,5.574515012645791e-6
47000.,5.517879173105726e-6
47250.,5.461857864144854e-6
47500.,5.4064440251733465e-6
47750.,5.351630681772174e-6
48000.,5.297410944561053e-6
48250.,5.243778008083269e-6
48500.,5.190725149705988e-6
