time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1223.0,136.0
0.4,1518.0,185.0
0.6,1837.0,235.0
0.8,2267.0,333.0
1.0,2771.0,439.0
1.2,3413.0,617.0
1.4,4215.0,818.0
1.6,5220.0,1133.0
1.8,6329.0,1511.0
2.0,7768.0,2065.0
2.2,9464.0,2800.0
2.4,11491.0,3860.0
2.6,13982.0,5205.0
2.8,17044.0,7130.0
3.0,20848.0,9691.0
3.2,25498.0,13144.0
3.4,31145.0,17731.0
3.6,38114.0,24047.0
3.8,46584.0,32507.0
4.0,57008.0,43867.0
4.2,69586.0,58912.0
4.4,85211.0,79441.0
4.6,103987.0,107116.0
4.8,127108.0,144498.0
5.0,155610.0,194684.0
5.2,190293.0,263279.0
5.4,232733.0,355726.0
5.6,284979.0,480120.0
5.8,349088.0,648627.0
6.0,427681.0,876879.0
6.2,525076.0,1184976.0
6.4,644831.0,1599327.0
6.6,791412.0,2159557.0
6.8,972395.0,2916412.0
7.0,1194893.0,3940175.0
7.2,1469521.0,5319778.0
7.4,1808498.0,7182472.0
7.6,2228809.0,9696684.0
7.8,2746805.0,13091580.0
8.0,3387591.0,17674298.0
8.2,4183574.0,23857911.0
8.4,5170838.0,32206903.0
8.6,6399658.0,43472343.0
8.8,7929144.0,58684086.0
9.0,9835295.0,79221818.0
9.2,12217166.0,106949789.0
9.4,15201342.0,144369508.0
9.6,18936575.0,194876716.0
9.8,23628115.0,263062541.0
10.0,29538083.0,355111717.0
