time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1234.0,132.0
0.4,1520.0,192.0
0.6,1857.0,255.0
0.8,2260.0,346.0
1.0,2783.0,470.0
1.2,3441.0,638.0
1.4,4176.0,849.0
1.6,5136.0,1153.0
1.8,6263.0,1526.0
2.0,7696.0,2096.0
2.2,9392.0,2843.0
2.4,11528.0,3852.0
2.6,14044.0,5217.0
2.8,17018.0,7069.0
3.0,20907.0,9670.0
3.2,25534.0,13042.0
3.4,31254.0,17667.0
3.6,38140.0,24010.0
3.8,46601.0,32345.0
4.0,56919.0,43721.0
4.2,69532.0,58901.0
4.4,84872.0,79418.0
4.6,103994.0,107508.0
4.8,127014.0,145069.0
5.0,155490.0,195822.0
5.2,190663.0,264134.0
5.4,233747.0,356717.0
5.6,286546.0,481794.0
5.8,351344.0,650665.0
6.0,430840.0,879540.0
6.2,529084.0,1188011.0
6.4,649535.0,1603457.0
6.6,797567.0,2166383.0
6.8,978992.0,2926228.0
7.0,1203365.0,3950890.0
7.2,1480234.0,5336249.0
7.4,1822098.0,7205023.0
7.6,2244206.0,9721906.0
7.8,2766835.0,13123407.0
8.0,3413873.0,17713424.0
8.2,4215385.0,23911985.0
8.4,5212596.0,32278265.0
8.6,6449439.0,43574795.0
8.8,7988526.0,58809661.0
9.0,9909570.0,79388012.0
9.2,12307270.0,107156135.0
9.4,15305709.0,144646665.0
9.6,19068750.0,195260139.0
9.8,23795960.0,263575113.0
10.0,29741212.0,355792977.0
