time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1232.0,132.0
0.4,1499.0,193.0
0.6,1817.0,259.0
0.8,2203.0,332.0
1.0,2674.0,451.0
1.2,3269.0,615.0
1.4,4014.0,865.0
1.6,4927.0,1153.0
1.8,6089.0,1556.0
2.0,7494.0,2091.0
2.2,9217.0,2792.0
2.4,11248.0,3777.0
2.6,13796.0,5143.0
2.8,16830.0,6950.0
3.0,20485.0,9426.0
3.2,25011.0,12773.0
3.4,30531.0,17321.0
3.6,37453.0,23314.0
3.8,45662.0,31432.0
4.0,55926.0,42356.0
4.2,68518.0,57235.0
4.4,83690.0,77172.0
4.6,102503.0,104084.0
4.8,125541.0,140476.0
5.0,153951.0,189562.0
5.2,188742.0,256226.0
5.4,231461.0,346239.0
5.6,283432.0,467794.0
5.8,347692.0,631376.0
6.0,425723.0,852153.0
6.2,523169.0,1150258.0
6.4,642183.0,1552205.0
6.6,788191.0,2095956.0
6.8,967757.0,2829466.0
7.0,1189107.0,3820319.0
7.2,1461428.0,5154464.0
7.4,1797920.0,6959267.0
7.6,2214119.0,9394939.0
7.8,2728019.0,12685462.0
8.0,3364792.0,17127613.0
8.2,4153571.0,23120781.0
8.4,5133421.0,31211914.0
8.6,6349561.0,42139907.0
8.8,7865579.0,56875412.0
9.0,9751987.0,76771284.0
9.2,12109195.0,103629677.0
9.4,15056864.0,139881157.0
9.6,18753135.0,188814016.0
9.8,23390424.0,254879225.0
10.0,29224520.0,344041821.0
