time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1209.0,139.0
0.4,1464.0,164.0
0.6,1740.0,215.0
0.8,2081.0,290.0
1.0,2577.0,397.0
1.2,3161.0,547.0
1.4,3899.0,730.0
1.6,4808.0,948.0
1.8,5864.0,1261.0
2.0,7118.0,1665.0
2.2,8686.0,2259.0
2.4,10667.0,3036.0
2.6,13008.0,4122.0
2.8,15957.0,5555.0
3.0,19558.0,7500.0
3.2,23889.0,10171.0
3.4,29194.0,13717.0
3.6,35529.0,18495.0
3.8,43537.0,25031.0
4.0,53279.0,33709.0
4.2,65118.0,45746.0
4.4,79557.0,61665.0
4.6,97304.0,82979.0
4.8,119036.0,112316.0
5.0,145806.0,151308.0
5.2,178605.0,204204.0
5.4,218685.0,276257.0
5.6,267785.0,372660.0
5.8,328137.0,502824.0
6.0,402244.0,679311.0
6.2,493217.0,916818.0
6.4,604009.0,1238042.0
6.6,741432.0,1672512.0
6.8,910246.0,2258594.0
7.0,1117680.0,3048942.0
7.2,1371554.0,4115282.0
7.4,1685421.0,5554431.0
7.6,2072810.0,7498718.0
7.8,2551063.0,10129435.0
8.0,3143519.0,13674780.0
8.2,3875616.0,18461312.0
8.4,4780659.0,24922297.0
8.6,5902218.0,33643634.0
8.8,7296567.0,45420342.0
9.0,9027807.0,61307702.0
9.2,11183585.0,82762117.0
9.4,13871306.0,111716510.0
9.6,17229175.0,150805415.0
9.8,21427148.0,203588422.0
10.0,26691668.0,274813989.0
