time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1251.0,125.0
0.4,1523.0,171.0
0.6,1854.0,224.0
0.8,2251.0,299.0
1.0,2770.0,411.0
1.2,3389.0,526.0
1.4,4163.0,710.0
1.6,5080.0,990.0
1.8,6179.0,1333.0
2.0,7527.0,1841.0
2.2,9171.0,2479.0
2.4,11233.0,3376.0
2.6,13697.0,4521.0
2.8,16824.0,6132.0
3.0,20567.0,8227.0
3.2,25039.0,11240.0
3.4,30586.0,15181.0
3.6,37425.0,20611.0
3.8,45880.0,27826.0
4.0,56190.0,37496.0
4.2,68633.0,50783.0
4.4,84018.0,68548.0
4.6,103106.0,92531.0
4.8,126277.0,124473.0
5.0,154325.0,168108.0
5.2,189527.0,227171.0
5.4,232107.0,306738.0
5.6,284888.0,414067.0
5.8,348978.0,558901.0
6.0,427612.0,754845.0
6.2,524679.0,1018373.0
6.4,643660.0,1376162.0
6.6,790010.0,1857294.0
6.8,969269.0,2506780.0
7.0,1191081.0,3383795.0
7.2,1463199.0,4564918.0
7.4,1798923.0,6160234.0
7.6,2212978.0,8313841.0
7.8,2723724.0,11222428.0
8.0,3356410.0,15150143.0
8.2,4138855.0,20448864.0
8.4,5106690.0,27604046.0
8.6,6310602.0,37265212.0
8.8,7803979.0,50304879.0
9.0,9664757.0,67907844.0
9.2,11977560.0,91666400.0
9.4,14870475.0,123749571.0
9.6,18477331.0,167053322.0
9.8,23002159.0,225483838.0
10.0,28678743.0,304388995.0
