time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1212.0,142.0
0.4,1469.0,193.0
0.6,1778.0,260.0
0.8,2161.0,367.0
1.0,2618.0,483.0
1.2,3170.0,664.0
1.4,3860.0,867.0
1.6,4730.0,1212.0
1.8,5747.0,1662.0
2.0,6959.0,2277.0
2.2,8476.0,3067.0
2.4,10340.0,4169.0
2.6,12678.0,5605.0
2.8,15502.0,7552.0
3.0,18897.0,10241.0
3.2,23060.0,13833.0
3.4,28281.0,18695.0
3.6,34589.0,25297.0
3.8,42415.0,34136.0
4.0,51675.0,45917.0
4.2,63262.0,61936.0
4.4,77421.0,83622.0
4.6,95139.0,113085.0
4.8,116439.0,152650.0
5.0,142602.0,206772.0
5.2,174618.0,278929.0
5.4,213824.0,376467.0
5.6,262092.0,509086.0
5.8,321575.0,686717.0
6.0,394701.0,927392.0
6.2,483985.0,1251341.0
6.4,594007.0,1691057.0
6.6,729466.0,2282564.0
6.8,897064.0,3081454.0
7.0,1103736.0,4158729.0
7.2,1358102.0,5614991.0
7.4,1672755.0,7577480.0
7.6,2063190.0,10228963.0
7.8,2547173.0,13805471.0
8.0,3145985.0,18637219.0
8.2,3891084.0,25158507.0
8.4,4816693.0,33961396.0
8.6,5967562.0,45848356.0
8.8,7405877.0,61893453.0
9.0,9202362.0,83551073.0
9.2,11454135.0,112792675.0
9.4,14280344.0,152258490.0
9.6,17833668.0,205521753.0
9.8,22311308.0,277428952.0
10.0,27969615.0,374472694.0
