time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1241.0,134.0
0.4,1505.0,185.0
0.6,1859.0,245.0
0.8,2255.0,325.0
1.0,2764.0,432.0
1.2,3416.0,590.0
1.4,4215.0,817.0
1.6,5172.0,1127.0
1.8,6284.0,1492.0
2.0,7630.0,2029.0
2.2,9345.0,2813.0
2.4,11449.0,3876.0
2.6,14001.0,5224.0
2.8,17086.0,6999.0
3.0,20801.0,9576.0
3.2,25525.0,12985.0
3.4,31332.0,17710.0
3.6,38248.0,23731.0
3.8,46769.0,31990.0
4.0,57219.0,43144.0
4.2,69806.0,58425.0
4.4,85411.0,78664.0
4.6,104435.0,106229.0
4.8,127800.0,143317.0
5.0,156545.0,193299.0
5.2,191476.0,260913.0
5.4,234523.0,352164.0
5.6,287432.0,475618.0
5.8,352316.0,642056.0
6.0,432199.0,866922.0
6.2,530078.0,1169968.0
6.4,649909.0,1579150.0
6.6,797821.0,2132818.0
6.8,979967.0,2877942.0
7.0,1204326.0,3884320.0
7.2,1481366.0,5244449.0
7.4,1822501.0,7078247.0
7.6,2245127.0,9556229.0
7.8,2768267.0,12903726.0
8.0,3415554.0,17418016.0
8.2,4216276.0,23508145.0
8.4,5211161.0,31742604.0
8.6,6447458.0,42852336.0
8.8,7984506.0,57852058.0
9.0,9899758.0,78098783.0
9.2,12288710.0,105410154.0
9.4,15282037.0,142301853.0
9.6,19034231.0,192095165.0
9.8,23738712.0,259317124.0
10.0,29660899.0,350033834.0
