time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1216.0,140.0
0.4,1472.0,195.0
0.6,1788.0,260.0
0.8,2198.0,357.0
1.0,2732.0,497.0
1.2,3313.0,696.0
1.4,4004.0,940.0
1.6,4884.0,1281.0
1.8,6048.0,1752.0
2.0,7380.0,2363.0
2.2,9037.0,3239.0
2.4,11034.0,4337.0
2.6,13475.0,5868.0
2.8,16431.0,7937.0
3.0,20044.0,10725.0
3.2,24341.0,14541.0
3.4,29651.0,19550.0
3.6,36293.0,26451.0
3.8,44287.0,35646.0
4.0,54068.0,48282.0
4.2,66125.0,65208.0
4.4,81045.0,88100.0
4.6,98911.0,119086.0
4.8,120905.0,160784.0
5.0,147771.0,217347.0
5.2,180942.0,293722.0
5.4,221248.0,396777.0
5.6,270454.0,535266.0
5.8,331279.0,723581.0
6.0,405508.0,977897.0
6.2,496417.0,1319738.0
6.4,608686.0,1781922.0
6.6,745303.0,2407303.0
6.8,913489.0,3251554.0
7.0,1119754.0,4391784.0
7.2,1373802.0,5930811.0
7.4,1685494.0,8008605.0
7.6,2069237.0,10812972.0
7.8,2540834.0,14597875.0
8.0,3121926.0,19709736.0
8.2,3837179.0,26611272.0
8.4,4721076.0,35925425.0
8.6,5812084.0,48500533.0
8.8,7161498.0,65480542.0
9.0,8829163.0,88396730.0
9.2,10894532.0,119330663.0
9.4,13460928.0,161104771.0
9.6,16650184.0,217476131.0
9.8,20617867.0,293583222.0
10.0,25563360.0,396313748.0
