time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1233.0,121.0
0.4,1488.0,172.0
0.6,1826.0,245.0
0.8,2258.0,331.0
1.0,2751.0,449.0
1.2,3358.0,613.0
1.4,4097.0,807.0
1.6,4979.0,1078.0
1.8,6010.0,1480.0
2.0,7298.0,1980.0
2.2,8926.0,2698.0
2.4,10945.0,3724.0
2.6,13413.0,5058.0
2.8,16435.0,6851.0
3.0,20033.0,9182.0
3.2,24451.0,12400.0
3.4,29858.0,16776.0
3.6,36591.0,22564.0
3.8,44702.0,30300.0
4.0,54514.0,41093.0
4.2,66777.0,55635.0
4.4,81624.0,75271.0
4.6,99845.0,101810.0
4.8,122246.0,137463.0
5.0,149324.0,186013.0
5.2,182930.0,250885.0
5.4,223684.0,338590.0
5.6,273258.0,457429.0
5.8,333913.0,618850.0
6.0,408809.0,836569.0
6.2,500346.0,1130363.0
6.4,612231.0,1525999.0
6.6,749324.0,2061082.0
6.8,917401.0,2784017.0
7.0,1124513.0,3756608.0
7.2,1377123.0,5072690.0
7.4,1688843.0,6850938.0
7.6,2072430.0,9247819.0
7.8,2543087.0,12484973.0
8.0,3122793.0,16858826.0
8.2,3836633.0,22759917.0
8.4,4715781.0,30729947.0
8.6,5797024.0,41485125.0
8.8,7133182.0,56003333.0
9.0,8782469.0,75614826.0
9.2,10825008.0,102080213.0
9.4,13351932.0,137819757.0
9.6,16482377.0,186051352.0
9.8,20370199.0,251169456.0
10.0,25201032.0,339074233.0
