time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1220.0,139.0
0.4,1486.0,185.0
0.6,1830.0,245.0
0.8,2238.0,348.0
1.0,2768.0,465.0
1.2,3414.0,609.0
1.4,4199.0,830.0
1.6,5089.0,1121.0
1.8,6292.0,1508.0
2.0,7700.0,2011.0
2.2,9307.0,2716.0
2.4,11346.0,3663.0
2.6,13915.0,4931.0
2.8,17071.0,6684.0
3.0,20901.0,9051.0
3.2,25530.0,12312.0
3.4,31289.0,16781.0
3.6,38291.0,22653.0
3.8,46831.0,30625.0
4.0,57382.0,41582.0
4.2,70241.0,56244.0
4.4,85988.0,76094.0
4.6,105164.0,102806.0
4.8,128707.0,138334.0
5.0,157543.0,187373.0
5.2,193010.0,253417.0
5.4,236413.0,341621.0
5.6,289248.0,461432.0
5.8,353533.0,622955.0
6.0,433121.0,841019.0
6.2,530579.0,1135978.0
6.4,649922.0,1533979.0
6.6,795601.0,2073614.0
6.8,973734.0,2800635.0
7.0,1193363.0,3781590.0
7.2,1461771.0,5105240.0
7.4,1791048.0,6893207.0
7.6,2196220.0,9309411.0
7.8,2693425.0,12568816.0
8.0,3306512.0,16968137.0
8.2,4061394.0,22907782.0
8.4,4989187.0,30925381.0
8.6,6134602.0,41757426.0
8.8,7545152.0,56381396.0
9.0,9284973.0,76115724.0
9.2,11438929.0,102754158.0
9.4,14103886.0,138716745.0
9.6,17405848.0,187262422.0
9.8,21502005.0,252813012.0
10.0,26586303.0,341293882.0
