time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1222.0,126.0
0.4,1467.0,159.0
0.6,1806.0,227.0
0.8,2202.0,307.0
1.0,2677.0,433.0
1.2,3289.0,571.0
1.4,3991.0,751.0
1.6,4843.0,989.0
1.8,5873.0,1377.0
2.0,7184.0,1873.0
2.2,8846.0,2524.0
2.4,10829.0,3460.0
2.6,13186.0,4712.0
2.8,16162.0,6340.0
3.0,19842.0,8538.0
3.2,24230.0,11568.0
3.4,29542.0,15742.0
3.6,36243.0,21117.0
3.8,44258.0,28480.0
4.0,54257.0,38413.0
4.2,66363.0,51591.0
4.4,81383.0,69718.0
4.6,99483.0,94158.0
4.8,121825.0,127360.0
5.0,149167.0,172153.0
5.2,182744.0,232785.0
5.4,223675.0,314028.0
5.6,273605.0,423836.0
5.8,335096.0,572206.0
6.0,410316.0,773620.0
6.2,501909.0,1044225.0
6.4,614120.0,1409429.0
6.6,751938.0,1901880.0
6.8,921079.0,2567339.0
7.0,1128109.0,3469177.0
7.2,1381931.0,4681631.0
7.4,1694984.0,6318575.0
7.6,2078504.0,8532390.0
7.8,2548886.0,11518541.0
8.0,3128087.0,15552182.0
8.2,3841685.0,20995539.0
8.4,4718997.0,28343977.0
8.6,5800368.0,38267156.0
8.8,7130826.0,51661301.0
9.0,8773431.0,69747112.0
9.2,10806678.0,94165333.0
9.4,13319492.0,127122546.0
9.6,16430544.0,171618721.0
9.8,20288648.0,231676227.0
10.0,25077286.0,312749211.0
