time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1236.0,136.0
0.4,1524.0,185.0
0.6,1825.0,240.0
0.8,2209.0,335.0
1.0,2730.0,463.0
1.2,3379.0,621.0
1.4,4152.0,849.0
1.6,5050.0,1127.0
1.8,6125.0,1551.0
2.0,7436.0,2134.0
2.2,9097.0,2843.0
2.4,11126.0,3812.0
2.6,13577.0,5084.0
2.8,16530.0,6896.0
3.0,20259.0,9220.0
3.2,24738.0,12507.0
3.4,30228.0,16909.0
3.6,36926.0,22971.0
3.8,45055.0,31027.0
4.0,54922.0,41917.0
4.2,67188.0,56622.0
4.4,82170.0,76460.0
4.6,100685.0,103257.0
4.8,123091.0,139430.0
5.0,150435.0,188430.0
5.2,184047.0,254552.0
5.4,225208.0,344193.0
5.6,275685.0,464403.0
5.8,337602.0,627656.0
6.0,412770.0,847772.0
6.2,505671.0,1145201.0
6.4,618559.0,1546111.0
6.6,757931.0,2086437.0
6.8,928898.0,2817195.0
7.0,1138459.0,3802608.0
7.2,1395347.0,5137077.0
7.4,1710950.0,6938714.0
7.6,2099605.0,9366557.0
7.8,2577568.0,12644413.0
8.0,3165132.0,17073833.0
8.2,3887150.0,23049179.0
8.4,4777618.0,31124559.0
8.6,5875222.0,42013103.0
8.8,7229031.0,56718041.0
9.0,8902367.0,76580976.0
9.2,10969822.0,103392536.0
9.4,13531926.0,139576928.0
9.6,16703824.0,188423996.0
9.8,20645447.0,254375314.0
10.0,25541221.0,343365726.0
