time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1209.0,124.0
0.4,1496.0,164.0
0.6,1844.0,226.0
0.8,2233.0,318.0
1.0,2736.0,413.0
1.2,3345.0,556.0
1.4,4040.0,771.0
1.6,4903.0,1068.0
1.8,5883.0,1431.0
2.0,7193.0,1929.0
2.2,8822.0,2647.0
2.4,10770.0,3562.0
2.6,13196.0,4752.0
2.8,16111.0,6369.0
3.0,19703.0,8647.0
3.2,24122.0,11703.0
3.4,29494.0,15750.0
3.6,35967.0,21333.0
3.8,43747.0,28766.0
4.0,53477.0,38843.0
4.2,65357.0,52567.0
4.4,79902.0,71191.0
4.6,97909.0,95726.0
4.8,119998.0,129290.0
5.0,146551.0,174548.0
5.2,179438.0,235748.0
5.4,219152.0,318616.0
5.6,268560.0,429905.0
5.8,328589.0,580874.0
6.0,401748.0,784829.0
6.2,491953.0,1060232.0
6.4,602200.0,1432801.0
6.6,737787.0,1933508.0
6.8,904041.0,2611253.0
7.0,1107428.0,3527187.0
7.2,1356823.0,4762167.0
7.4,1662637.0,6433152.0
7.6,2038682.0,8687578.0
7.8,2500758.0,11731343.0
8.0,3070228.0,15838566.0
8.2,3769556.0,21381513.0
8.4,4630798.0,28867465.0
8.6,5694576.0,38971509.0
8.8,7003530.0,52615497.0
9.0,8618987.0,71028531.0
9.2,10617359.0,95899996.0
9.4,13091678.0,129459950.0
9.6,16153948.0,174766479.0
9.8,19954812.0,235938296.0
10.0,24678656.0,318495127.0
