time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1224.0,127.0
0.4,1493.0,171.0
0.6,1842.0,225.0
0.8,2242.0,309.0
1.0,2746.0,395.0
1.2,3327.0,534.0
1.4,4129.0,741.0
1.6,5027.0,974.0
1.8,6192.0,1340.0
2.0,7541.0,1826.0
2.2,9136.0,2465.0
2.4,11119.0,3344.0
2.6,13557.0,4516.0
2.8,16580.0,6201.0
3.0,20244.0,8457.0
3.2,24730.0,11606.0
3.4,30187.0,15796.0
3.6,36838.0,21616.0
3.8,44815.0,29225.0
4.0,54934.0,39447.0
4.2,66973.0,53168.0
4.4,81922.0,71668.0
4.6,99896.0,97067.0
4.8,122151.0,130978.0
5.0,149499.0,176826.0
5.2,183097.0,238415.0
5.4,223789.0,321772.0
5.6,273734.0,434697.0
5.8,335128.0,587296.0
6.0,410290.0,793298.0
6.2,501917.0,1071048.0
6.4,614259.0,1445687.0
6.6,752354.0,1952184.0
6.8,921481.0,2636607.0
7.0,1129394.0,3559849.0
7.2,1384490.0,4804666.0
7.4,1696046.0,6485873.0
7.6,2079773.0,8758404.0
7.8,2550777.0,11822913.0
8.0,3131879.0,15961818.0
8.2,3846886.0,21550530.0
8.4,4726156.0,29090964.0
8.6,5811185.0,39268212.0
8.8,7148695.0,53008486.0
9.0,8801809.0,71556629.0
9.2,10844234.0,96611444.0
9.4,13372504.0,130424938.0
9.6,16501735.0,176080019.0
9.8,20381506.0,237702766.0
10.0,25202808.0,320901955.0
