time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1232.0,139.0
0.4,1529.0,199.0
0.6,1852.0,277.0
0.8,2271.0,385.0
1.0,2741.0,499.0
1.2,3352.0,675.0
1.4,4086.0,885.0
1.6,5067.0,1195.0
1.8,6201.0,1614.0
2.0,7604.0,2163.0
2.2,9295.0,2938.0
2.4,11336.0,4023.0
2.6,13820.0,5424.0
2.8,17015.0,7391.0
3.0,20785.0,10135.0
3.2,25402.0,13637.0
3.4,31000.0,18403.0
3.6,38001.0,24836.0
3.8,46402.0,33561.0
4.0,56681.0,45332.0
4.2,69444.0,61374.0
4.4,84910.0,82865.0
4.6,103660.0,111942.0
4.8,126681.0,151213.0
5.0,155405.0,204321.0
5.2,190504.0,275966.0
5.4,232891.0,372717.0
5.6,285210.0,504465.0
5.8,349206.0,681807.0
6.0,427522.0,921195.0
6.2,523875.0,1244007.0
6.4,642213.0,1679751.0
6.6,786800.0,2269360.0
6.8,964296.0,3065902.0
7.0,1182586.0,4139287.0
7.2,1449170.0,5590440.0
7.4,1776957.0,7545216.0
7.6,2179246.0,10187387.0
7.8,2675171.0,13756574.0
8.0,3286189.0,18572183.0
8.2,4036760.0,25080744.0
8.4,4961880.0,33859097.0
8.6,6105653.0,45712701.0
8.8,7515847.0,61717243.0
9.0,9261104.0,83315306.0
9.2,11418142.0,112482442.0
9.4,14095683.0,151848738.0
9.6,17408565.0,204998655.0
9.8,21524866.0,276743058.0
10.0,26647405.0,373583737.0
