time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1215.0,145.0
0.4,1499.0,188.0
0.6,1783.0,251.0
0.8,2191.0,333.0
1.0,2683.0,453.0
1.2,3315.0,638.0
1.4,4117.0,884.0
1.6,5084.0,1200.0
1.8,6205.0,1639.0
2.0,7646.0,2243.0
2.2,9324.0,3064.0
2.4,11479.0,4135.0
2.6,14104.0,5565.0
2.8,17189.0,7569.0
3.0,20939.0,10134.0
3.2,25507.0,13834.0
3.4,31087.0,18674.0
3.6,38023.0,25292.0
3.8,46367.0,34174.0
4.0,56586.0,46054.0
4.2,69361.0,62178.0
4.4,84439.0,84031.0
4.6,103184.0,113474.0
4.8,126068.0,153238.0
5.0,154192.0,207151.0
5.2,188454.0,279543.0
5.4,230179.0,377990.0
5.6,281850.0,510313.0
5.8,345246.0,689605.0
6.0,422705.0,931968.0
6.2,517475.0,1258497.0
6.4,633565.0,1698821.0
6.6,775677.0,2292987.0
6.8,950368.0,3095562.0
7.0,1164924.0,4181094.0
7.2,1429026.0,5644022.0
7.4,1752809.0,7619205.0
7.6,2152456.0,10288273.0
7.8,2641334.0,13889436.0
8.0,3244588.0,18751070.0
8.2,3989630.0,25315628.0
8.4,4905342.0,34180548.0
8.6,6034615.0,46145389.0
8.8,7431157.0,62293752.0
9.0,9156478.0,84094114.0
9.2,11292816.0,113518249.0
9.4,13938834.0,153243368.0
9.6,17221072.0,206875901.0
9.8,21298642.0,279271671.0
10.0,26373478.0,377020766.0
