time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1220.0,133.0
0.4,1521.0,176.0
0.6,1815.0,231.0
0.8,2213.0,322.0
1.0,2707.0,438.0
1.2,3338.0,610.0
1.4,4062.0,836.0
1.6,4943.0,1123.0
1.8,6043.0,1526.0
2.0,7392.0,2087.0
2.2,9043.0,2844.0
2.4,11142.0,3791.0
2.6,13584.0,5156.0
2.8,16529.0,6978.0
3.0,20224.0,9454.0
3.2,24631.0,12777.0
3.4,29953.0,17391.0
3.6,36577.0,23452.0
3.8,44705.0,31713.0
4.0,54597.0,43138.0
4.2,66632.0,58297.0
4.4,81545.0,78649.0
4.6,99969.0,106220.0
4.8,122425.0,143758.0
5.0,149812.0,194429.0
5.2,183299.0,262433.0
5.4,223958.0,354327.0
5.6,274057.0,478325.0
5.8,335356.0,646153.0
6.0,410628.0,872312.0
6.2,502556.0,1177635.0
6.4,615171.0,1587863.0
6.6,753495.0,2144123.0
6.8,923698.0,2893706.0
7.0,1132209.0,3907147.0
7.2,1388516.0,5275876.0
7.4,1702364.0,7125368.0
7.6,2086710.0,9617197.0
7.8,2560141.0,12981598.0
8.0,3143832.0,17525741.0
8.2,3863642.0,23656112.0
8.4,4748311.0,31940815.0
8.6,5838815.0,43109417.0
8.8,7186413.0,58206785.0
9.0,8852700.0,78571605.0
9.2,10915999.0,106075054.0
9.4,13464775.0,143198527.0
9.6,16630540.0,193315297.0
9.8,20561712.0,260978980.0
10.0,25446280.0,352312966.0
