time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1238.0,140.0
0.4,1535.0,193.0
0.6,1858.0,258.0
0.8,2266.0,333.0
1.0,2748.0,471.0
1.2,3350.0,643.0
1.4,4133.0,864.0
1.6,5084.0,1187.0
1.8,6170.0,1640.0
2.0,7562.0,2214.0
2.2,9194.0,2943.0
2.4,11333.0,4017.0
2.6,13836.0,5483.0
2.8,17011.0,7349.0
3.0,20799.0,9848.0
3.2,25553.0,13438.0
3.4,31293.0,18115.0
3.6,38161.0,24463.0
3.8,46618.0,33066.0
4.0,56982.0,44920.0
4.2,69998.0,60801.0
4.4,85384.0,82176.0
4.6,104645.0,111087.0
4.8,128173.0,150156.0
5.0,156695.0,202686.0
5.2,191341.0,273514.0
5.4,234474.0,369261.0
5.6,286755.0,498694.0
5.8,350453.0,673972.0
6.0,429112.0,909889.0
6.2,525511.0,1229063.0
6.4,643944.0,1659551.0
6.6,789392.0,2241088.0
6.8,966820.0,3026813.0
7.0,1184309.0,4088123.0
7.2,1451530.0,5518446.0
7.4,1779719.0,7449564.0
7.6,2182610.0,10062842.0
7.8,2678510.0,13587729.0
8.0,3289444.0,18343940.0
8.2,4041374.0,24768433.0
8.4,4968046.0,33447189.0
8.6,6111688.0,45161136.0
8.8,7522789.0,60960979.0
9.0,9264009.0,82300762.0
9.2,11420491.0,111090868.0
9.4,14091381.0,149978464.0
9.6,17403671.0,202452861.0
9.8,21516286.0,273298145.0
10.0,26629936.0,368946807.0
