time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1196.0,140.0
0.4,1427.0,186.0
0.6,1732.0,259.0
0.8,2133.0,337.0
1.0,2562.0,446.0
1.2,3108.0,608.0
1.4,3809.0,839.0
1.6,4622.0,1132.0
1.8,5615.0,1519.0
2.0,6861.0,2044.0
2.2,8346.0,2736.0
2.4,10156.0,3695.0
2.6,12429.0,5013.0
2.8,15160.0,6759.0
3.0,18410.0,9131.0
3.2,22493.0,12304.0
3.4,27554.0,16525.0
3.6,33700.0,22448.0
3.8,41099.0,30108.0
4.0,50209.0,40727.0
4.2,61291.0,54892.0
4.4,74857.0,74131.0
4.6,91589.0,100290.0
4.8,111766.0,135621.0
5.0,136691.0,183211.0
5.2,167215.0,247628.0
5.4,204668.0,334544.0
5.6,250513.0,452139.0
5.8,306292.0,610796.0
6.0,374963.0,824088.0
6.2,458801.0,1113031.0
6.4,561473.0,1502462.0
6.6,687292.0,2028898.0
6.8,841784.0,2739426.0
7.0,1031550.0,3697031.0
7.2,1264571.0,4994154.0
7.4,1550588.0,6745083.0
7.6,1902555.0,9107116.0
7.8,2335650.0,12294588.0
8.0,2868474.0,16596847.0
8.2,3523274.0,22410902.0
8.4,4332642.0,30258907.0
8.6,5330096.0,40854456.0
8.8,6563346.0,55152523.0
9.0,8088443.0,74455918.0
9.2,9973260.0,100516421.0
9.4,12312135.0,135688405.0
9.6,15211512.0,183171452.0
9.8,18821779.0,247273418.0
10.0,23303568.0,333798824.0
