time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1208.0,139.0
0.4,1478.0,182.0
0.6,1817.0,241.0
0.8,2186.0,334.0
1.0,2667.0,451.0
1.2,3198.0,591.0
1.4,3887.0,795.0
1.6,4690.0,1070.0
1.8,5735.0,1411.0
2.0,7041.0,1934.0
2.2,8602.0,2590.0
2.4,10506.0,3497.0
2.6,12816.0,4729.0
2.8,15662.0,6436.0
3.0,19143.0,8719.0
3.2,23393.0,11716.0
3.4,28634.0,15814.0
3.6,35035.0,21363.0
3.8,42662.0,28898.0
4.0,52057.0,38814.0
4.2,63592.0,52514.0
4.4,77706.0,71193.0
4.6,94919.0,96216.0
4.8,116455.0,130176.0
5.0,142240.0,175992.0
5.2,174269.0,237986.0
5.4,213127.0,321758.0
5.6,260315.0,433881.0
5.8,318837.0,586290.0
6.0,390245.0,791365.0
6.2,477455.0,1069117.0
6.4,584669.0,1442255.0
6.6,715734.0,1946712.0
6.8,876714.0,2630370.0
7.0,1073821.0,3552138.0
7.2,1316416.0,4798365.0
7.4,1614296.0,6479444.0
7.6,1979952.0,8748755.0
7.8,2429261.0,11808315.0
8.0,2981971.0,15943791.0
8.2,3663202.0,21527484.0
8.4,4500490.0,29066464.0
8.6,5533051.0,39238764.0
8.8,6808655.0,52976018.0
9.0,8386337.0,71512954.0
9.2,10332137.0,96540551.0
9.4,12742761.0,130334661.0
9.6,15735234.0,175954443.0
9.8,19445370.0,237521021.0
10.0,24055158.0,320639306.0
