time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1197.0,143.0
0.4,1457.0,194.0
0.6,1762.0,267.0
0.8,2143.0,349.0
1.0,2609.0,466.0
1.2,3223.0,647.0
1.4,3929.0,894.0
1.6,4786.0,1254.0
1.8,5843.0,1681.0
2.0,7111.0,2255.0
2.2,8638.0,3062.0
2.4,10512.0,4117.0
2.6,12869.0,5579.0
2.8,15722.0,7595.0
3.0,19260.0,10263.0
3.2,23520.0,13887.0
3.4,28797.0,18811.0
3.6,35248.0,25347.0
3.8,43140.0,34086.0
4.0,52713.0,46031.0
4.2,64460.0,62187.0
4.4,78698.0,83902.0
4.6,96410.0,113130.0
4.8,118164.0,152860.0
5.0,144529.0,206341.0
5.2,177012.0,278945.0
5.4,216692.0,376179.0
5.6,265512.0,507478.0
5.8,325366.0,685811.0
6.0,398345.0,926236.0
6.2,487313.0,1250697.0
6.4,597420.0,1687945.0
6.6,731021.0,2279080.0
6.8,895636.0,3077750.0
7.0,1098706.0,4155609.0
7.2,1347771.0,5608489.0
7.4,1653098.0,7572766.0
7.6,2029051.0,10223651.0
7.8,2491325.0,13799660.0
8.0,3062028.0,18630259.0
8.2,3763428.0,25153035.0
8.4,4627252.0,33960793.0
8.6,5695927.0,45844949.0
8.8,7015651.0,61890000.0
9.0,8647867.0,83560986.0
9.2,10668739.0,112799570.0
9.4,13175715.0,152289587.0
9.6,16286858.0,205589963.0
9.8,20156369.0,277530645.0
10.0,24977343.0,374660869.0
