time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1342.0,123.0
0.4,1811.0,154.0
0.6,2427.0,199.0
0.8,3270.0,244.0
1.0,4406.0,310.0
1.2,5908.0,380.0
1.4,7919.0,475.0
1.6,10628.0,591.0
1.8,14410.0,732.0
2.0,19302.0,923.0
2.2,25922.0,1189.0
2.4,35106.0,1515.0
2.6,47377.0,1922.0
2.8,63936.0,2425.0
3.0,86266.0,3003.0
3.2,116416.0,3752.0
3.4,157118.0,4738.0
3.6,212126.0,6072.0
3.8,286907.0,7657.0
4.0,387313.0,9741.0
4.2,522558.0,12373.0
4.4,705726.0,15820.0
4.6,953001.0,20153.0
4.8,1287163.0,25815.0
5.0,1737866.0,33153.0
5.2,2345459.0,42586.0
5.4,3167179.0,55101.0
5.6,4275938.0,71274.0
5.8,5772998.0,92517.0
6.0,7794088.0,120391.0
6.2,10521463.0,156984.0
6.4,14201704.0,205071.0
6.6,19169922.0,269466.0
6.8,25875381.0,353742.0
7.0,34932189.0,465434.0
7.2,47151191.0,613307.0
7.4,63654812.0,810206.0
7.6,85918846.0,1072101.0
7.8,115982459.0,1419665.0
8.0,156574886.0,1882254.0
8.2,211349941.0,2500458.0
8.4,285304180.0,3325003.0
8.6,385106204.0,4427573.0
8.8,519845504.0,5900317.0
9.0,701707979.0,7874627.0
9.2,947224842.0,10518551.0
9.4,1278652663.0,14065034.0
9.6,1726023452.0,18817335.0
9.8,2329937851.0,25199608.0
10.0,3145177509.0,33770285.0
