time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1362.0,128.0
0.4,1843.0,155.0
0.6,2476.0,187.0
0.8,3324.0,233.0
1.0,4511.0,289.0
1.2,6067.0,348.0
1.4,8128.0,430.0
1.6,10911.0,524.0
1.8,14728.0,645.0
2.0,19955.0,812.0
2.2,26884.0,1010.0
2.4,36286.0,1265.0
2.6,49002.0,1673.0
2.8,66133.0,2142.0
3.0,89189.0,2762.0
3.2,120413.0,3512.0
3.4,162445.0,4385.0
3.6,219898.0,5575.0
3.8,296905.0,7103.0
4.0,401134.0,9096.0
4.2,542253.0,11667.0
4.4,730659.0,14986.0
4.6,986611.0,19320.0
4.8,1331363.0,24793.0
5.0,1796506.0,32018.0
5.2,2425150.0,41509.0
5.4,3273466.0,53734.0
5.6,4420149.0,69647.0
5.8,5966524.0,90633.0
6.0,8052961.0,118247.0
6.2,10872959.0,154585.0
6.4,14676337.0,202902.0
6.6,19813824.0,266626.0
6.8,26742294.0,351324.0
7.0,36095420.0,463721.0
7.2,48724268.0,612340.0
7.4,65765605.0,810877.0
7.6,88776116.0,1075196.0
7.8,119835795.0,1428120.0
8.0,161765790.0,1899349.0
8.2,218367702.0,2528152.0
8.4,294780536.0,3368536.0
8.6,397918407.0,4491883.0
8.8,537142532.0,5997434.0
9.0,725070109.0,8013839.0
9.2,978720039.0,10721574.0
9.4,1321184213.0,14351239.0
9.6,1783445800.0,19223480.0
9.8,2407387378.0,25774837.0
10.0,3249641895.0,34573666.0
