time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1342.0,130.0
0.4,1862.0,154.0
0.6,2549.0,197.0
0.8,3438.0,239.0
1.0,4711.0,292.0
1.2,6328.0,368.0
1.4,8625.0,467.0
1.6,11806.0,589.0
1.8,15752.0,738.0
2.0,21357.0,926.0
2.2,28844.0,1141.0
2.4,38967.0,1434.0
2.6,52613.0,1787.0
2.8,70913.0,2266.0
3.0,95503.0,2797.0
3.2,129038.0,3573.0
3.4,174396.0,4585.0
3.6,235340.0,5868.0
3.8,317806.0,7480.0
4.0,428574.0,9535.0
4.2,579126.0,12228.0
4.4,781644.0,15579.0
4.6,1054205.0,20087.0
4.8,1423156.0,26059.0
5.0,1921443.0,33758.0
5.2,2593309.0,43703.0
5.4,3501064.0,56564.0
5.6,4723847.0,73717.0
5.8,6375519.0,96074.0
6.0,8609068.0,125722.0
6.2,11625891.0,165065.0
6.4,15688399.0,216503.0
6.6,21176057.0,284679.0
6.8,28585283.0,375082.0
7.0,38584896.0,494897.0
7.2,52088886.0,653446.0
7.4,70313345.0,865984.0
7.6,94913083.0,1147658.0
7.8,128126516.0,1523671.0
8.0,172957037.0,2024903.0
8.2,233475596.0,2694972.0
8.4,315161573.0,3589919.0
8.6,425444014.0,4790436.0
8.8,574297336.0,6398298.0
9.0,775248781.0,8550714.0
9.2,1046519231.0,11440133.0
9.4,1412697290.0,15314133.0
9.6,1906971712.0,20521463.0
9.8,2574190797.0,27513428.0
10.0,3474896012.0,36910188.0
