time,z_minus,z_plus
0.0,1000.0,100.0
0.2,1373.0,121.0
0.4,1837.0,143.0
0.6,2464.0,188.0
0.8,3304.0,227.0
1.0,4478.0,270.0
1.2,5973.0,339.0
1.4,7966.0,406.0
1.6,10684.0,507.0
1.8,14370.0,637.0
2.0,19373.0,802.0
2.2,26183.0,1000.0
2.4,35437.0,1277.0
2.6,47789.0,1594.0
2.8,64511.0,1992.0
3.0,86847.0,2501.0
3.2,117097.0,3164.0
3.4,157569.0,3981.0
3.6,212780.0,5041.0
3.8,286727.0,6370.0
4.0,386826.0,8121.0
4.2,521923.0,10362.0
4.4,703755.0,13422.0
4.6,950569.0,17314.0
4.8,1282211.0,22345.0
5.0,1731403.0,28847.0
5.2,2336448.0,37391.0
5.4,3153586.0,48639.0
5.6,4256572.0,63516.0
5.8,5745006.0,83208.0
6.0,7755119.0,108818.0
6.2,10467436.0,143055.0
6.4,14128483.0,187854.0
6.6,19073423.0,247797.0
6.8,25744821.0,327068.0
7.0,34752269.0,432428.0
7.2,46914793.0,572998.0
7.4,63328164.0,760401.0
7.6,85476923.0,1008245.0
7.8,115385487.0,1341831.0
8.0,155755158.0,1786437.0
8.2,210250630.0,2382256.0
8.4,283811542.0,3180992.0
8.6,383117824.0,4250143.0
8.8,517151260.0,5686629.0
9.0,698113001.0,7608892.0
9.2,942348938.0,10187047.0
9.4,1272049447.0,13653574.0
9.6,1717159958.0,18307377.0
9.8,2317954078.0,24565255.0
10.0,3128952471.0,32978416.0
